trans_type_id,trans_type
00001,strip
00002,cats
00003,sas-proc-summary
00004,catx
00005,case_when|substr|lpad|string_concatenation
00006,case_when
00007,substr|lpad|string_concatenation
00008,case_when|max|function
00009,case_when|sum|subtract|function
00010,decode|min|function
00011,case_when|decode|coalesce|function
00012,max|over
00013,nvl|add
00014,min|function
00015,to_char
00016,case_when|substr
00017,case_when|length|to_date|function
00018,substr
00019,case_when|regexp_like|to_number|subtract|add
00020,trunc
00021,case_when|upper|function
00022,trunc|subtract
00023,case_when|trunc|round|function|subtract|divide
00024,to_number|to_char|trunc
00025,case_when|function
00026,sas-proc-append
00027,ifn|intnx|subtract
00028,sum|subtract
00029,coalesce
00030,subtract
00031,left|put
00032,intnx
00033,max
00034,intck
00035,ifn|function
00036,first_value|over|function
00037,rank|function
00038,lpad
00039,first_value|over
00040,function
00041,sum|nvl
00042,max|nvl
00043,sum
00044,case_when|sum|in
00045,case_when|sum
00046,min
00047,mean
00048,to_date|subtract
00049,round|function|subtract|divide
00050,lag|function
00051,row_number|function
00052,bquote|parallel|divide|multiply|add
00053,case_when|nvl|function|subtract
00054,nvl
00055,case_when|nvl|function|subtract|add
00056,case_when|trim|min|over
00057,case_when|trim
00058,case_when|sum|function|divide
00059,case_when|over|function
00060,case_when|round|divide
00061,case_when|coalesce|function
00062,case_when|nvl|function|divide
00063,case_when|trim|coalesce|cast|function|add
00064,case_when|function|subtract
00065,case_when|greatest|extract|function|subtract
00066,case_when|nvl|function|subtract|divide
00067,case_when|coalesce|min|over|function
00068,case_when|coalesce|min|over|function|add
00069,case_when|max|over|coalesce|function
00070,case_when|max|coalesce|over|function
00071,case_when|max|over|coalesce|function|add
00072,case_when|coalesce|max|over|function|add
00073,sum|multiply
00074,case_when|sum|over|function
00075,case_when|max|over|function
00076,case_when|add|function
00077,case_when|function|add
00078,case_when|add
00079,case_when|divide
00080,case_when|nvl|function|add
00081,case_when|function|divide|add
00082,case_when|upper|function|subtract
00083,case_when|subtract
00084,case_when|function|divide
00085,case_when|function|subtract|add
